game_id,year,week,away,home,away_score,home_score,temp,forecast,is_dome,wind_speed,wind_direct
2313778178,2017,11,Jaguars,Browns,19,7,38,Light Rain,FALSE,8,WNW
2602425648,2017,11,Ravens,Packers,23,0,26,Partly Cloudy,FALSE,6,WNW
3500483388,2017,11,Cardinals,Texans,21,31,59,Clear,FALSE,5,NNE
3364634994,2017,11,Rams,Vikings,7,24,72,DOME,TRUE,3,SW
2809474046,2017,11,Lions,Bears,27,24,31,Partly Cloudy,FALSE,6,WNW
4061496105,2017,11,Redskins,Saints,31,34,72,DOME,TRUE,8,N
2102741478,2017,11,Chiefs,Giants,9,12,49,Mostly Cloudy,FALSE,8,WNW
2021617888,2017,11,Bills,Chargers,24,54,72,Clear,FALSE,1,WSW
3072268083,2017,11,Bengals,Broncos,20,17,59,Clear,FALSE,0,WSW
1013406949,2017,11,Patriots,Raiders,33,8,64,Mostly Cloudy,FALSE,3,NNW
3904955817,2017,11,Eagles,Cowboys,37,9,52,Clear,FALSE,0,ESE
2452557851,2017,11,Falcons,Seahawks,34,31,46,Partly Cloudy,FALSE,1,ENE
222471041,2017,12,Vikings,Lions,30,23,72,DOME,TRUE,7,SW
1372462481,2017,12,Chargers,Cowboys,28,6,67,Clear,FALSE,1,S
3012522937,2017,12,Giants,Redskins,10,20,32,Clear,FALSE,0,SSE
3314192115,2017,12,Bills,Chiefs,16,10,58,Clear,FALSE,3,SSW
3128617826,2017,12,Titans,Colts,20,16,72,DOME,TRUE,3,W
4212366562,2017,12,Browns,Bengals,16,30,46,Clear,FALSE,2,WSW
486275776,2017,12,Buccaneers,Falcons,20,34,72,DOME,TRUE,4,NNW
1261373644,2017,12,Dolphins,Patriots,17,35,46,Partly Cloudy,FALSE,4,WNW
2347233918,2017,12,Bears,Eagles,3,31,48,Clear,FALSE,5,NW
1355891483,2017,12,Panthers,Jets,35,27,46,Clear,FALSE,6,WNW
740153501,2017,12,Seahawks,49ers,24,13,63,Partly Cloudy,FALSE,4,SSE
3562248043,2017,12,Saints,Rams,20,26,67,Clear,FALSE,2,SW
2669911713,2017,12,Jaguars,Cardinals,24,27,72,DOME,TRUE,0,SSW
2035792906,2017,12,Broncos,Raiders,14,21,61,Partly Cloudy,FALSE,6,S
2730433784,2017,12,Packers,Steelers,28,31,36,Clear,FALSE,1,SW
4156865964,2017,12,Texans,Ravens,16,23,44,Clear,FALSE,0,SE
1751331331,2017,13,Redskins,Cowboys,14,38,58,Clear,FALSE,0,NNE
1991837947,2017,13,Vikings,Falcons,14,9,72,DOME,TRUE,1,NNE
2755819273,2017,13,Texans,Titans,13,24,59,Clear,FALSE,2,ESE
411252616,2017,13,Chiefs,Jets,31,38,46,Mostly Cloudy,FALSE,0,E
3255317636,2017,13,Broncos,Dolphins,9,35,80,Clear,FALSE,5,ENE
1380798978,2017,13,Lions,Ravens,20,44,51,Clear,FALSE,1,WSW
514395812,2017,13,Patriots,Bills,23,3,46,Clear,FALSE,2,SW
617809151,2017,13,49ers,Bears,15,14,50,Clear,FALSE,2,SSW
269854118,2017,13,Buccaneers,Packers,20,26,41,Clear,FALSE,1,S
2987532804,2017,13,Colts,Jaguars,10,30,67,Mostly Cloudy,FALSE,2,NNE
172733403,2017,13,Browns,Chargers,10,19,66,Clear,FALSE,2,SSW
1591553610,2017,13,Panthers,Saints,21,31,72,DOME,TRUE,3,NE
862602017,2017,13,Giants,Raiders,17,24,55,Clear,FALSE,3,NW
424244252,2017,13,Rams,Cardinals,32,16,72,DOME,TRUE,3,SSE
2030017078,2017,13,Eagles,Seahawks,10,24,42,Mostly Cloudy,FALSE,0,N
3244766633,2017,13,Steelers,Bengals,23,20,60,Partly Cloudy,FALSE,3,SSE
4113094540,2017,14,Saints,Falcons,17,20,72,DOME,TRUE,1,WNW
2858176350,2017,14,Colts,Bills,7,13,26,Flurries,FALSE,4,W
2332981233,2017,14,Lions,Buccaneers,24,21,53,Clear,FALSE,4,N
813008808,2017,14,Raiders,Chiefs,15,26,47,Clear,FALSE,5,NW
3579667879,2017,14,Seahawks,Jaguars,24,30,46,Clear,FALSE,2,NW
3544930367,2017,14,49ers,Texans,26,16,57,Clear,FALSE,0,SE
320801717,2017,14,Packers,Browns,27,21,28,Mostly Cloudy,FALSE,9,WSW
1684521476,2017,14,Bears,Bengals,33,7,30,Mostly Cloudy,FALSE,4,SSW
3078808053,2017,14,Vikings,Panthers,24,31,39,Clear,FALSE,2,W
1776231333,2017,14,Redskins,Chargers,13,30,79,Clear,FALSE,2,NNE
2855310636,2017,14,Jets,Broncos,0,23,58,Clear,FALSE,0,SSW
3750719546,2017,14,Titans,Cardinals,7,12,72,DOME,TRUE,4,ENE
1942802899,2017,14,Cowboys,Giants,30,10,37,Drizzle,FALSE,5,WSW
4123867626,2017,14,Eagles,Rams,43,35,79,Clear,FALSE,1,NNE
613230572,2017,14,Ravens,Steelers,38,39,30,Mostly Cloudy,FALSE,3,SW
1786413342,2017,14,Patriots,Dolphins,20,27,56,Clear,FALSE,3,NW
